('Net Interest Income', '-211,000', '-215,000', '89,000', '76,000', '-2,733,000')
         527744 function calls (508845 primitive calls) in 1.498 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _collections.py:54(__getitem__)
        1    0.000    0.000    0.000    0.000 _collections.py:61(__setitem__)
       36    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:406(__subclasshook__)
       17    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:676(items)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:698(__init__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
      113    0.000    0.000    0.000    0.000 _collections_abc.py:742(__iter__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:824(update)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:73(_QByteMap)
        1    0.000    0.000    0.000    0.000 _html5lib.py:2(<module>)
       67    0.000    0.000    0.002    0.000 _htmlparser.py:104(handle_startendtag)
     1268    0.003    0.000    0.023    0.000 _htmlparser.py:119(handle_starttag)
     1268    0.001    0.000    0.010    0.000 _htmlparser.py:171(handle_endtag)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:18(HTMLParseError)
      436    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
        1    0.000    0.000    0.004    0.004 _htmlparser.py:2(<module>)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:232(handle_entityref)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:251(handle_comment)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:260(handle_decl)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:294(HTMLParserTreeBuilder)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:307(__init__)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:335(prepare_markup)
        1    0.000    0.000    0.070    0.070 _htmlparser.py:384(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:55(BeautifulSoupHTMLParser)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:65(__init__)
        3    0.000    0.000    0.000    0.000 _internal_utils.py:14(to_native_string)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:30(unicode_is_ascii)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _lxml.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _markupbase.py:168(parse_comment)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        1    0.000    0.000    0.000    0.000 _markupbase.py:36(reset)
     1268    0.000    0.000    0.000    0.000 _markupbase.py:40(getpos)
     4944    0.002    0.000    0.003    0.000 _markupbase.py:48(updatepos)
        1    0.000    0.000    0.001    0.001 _markupbase.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:504(AddressList)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:271(Compat32)
       26    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)
       17    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       26    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)
        1    0.000    0.000    0.015    0.015 _policybase.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
